id,name
5PjekOABtfU2Kwo0AHVmci,Guy Sebastian
3FfvYsEGaIb52QPXhg4DcH,Jason Aldean
7dGJo4pcD2V6oG8kP0tJRR,Eminem
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates
0ty0xha1dbprYIUAQufkFn,Patti LaBelle
24hJWbo98sH84tb0nkeaqy,Michael McDonald
6w6z8m4WXX7Tub4Rb6Lu7R,Jethro Tull
0HoeFrrKutiio4HJtXN0Sn,Christie
0ecbvwhuhiEAWOLHlRXpqD,STEELHEART
5rOhfAsK4uxq9OdREiQRKa,Dan Hill
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay
6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy
4DP9zIr6Htbun1GgKqrUks,The Music Machine
3gKPME3EjakIpyBUZrWPTh,GIANT
2DzRMyWgjuMbYvt5BLbpCo,Anthony Hamilton
6IRouO5mvvfcyxtPDKMYFN,Foreigner
73CmW7Heo8CxnYXydAs6qc,Kathy Troccoli
43sZBwHjahUvgbx1WNIkIz,Creed
1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera
6waa8mKu91GjzD4NlONlNJ,The Hollies
4958loju8eTBhBFO32oWQ6,Mercy
1n0pe6Cx9pCNvXYkX9TTLX,Real Life
7dnB1wSxbYa8CejeVg98hz,Meat Loaf
2hl0xAkS2AIRAu23TVMBG1,Kansas
3TOqt5oJwL9BE2NG9MEwDa,Disturbed
4QmkLL9JOqM9dusHS1Hghe,The Searchers
19ra5tSw0tWufvUp8GotLo,George Michael
1XkoF8ryArs86LZvFOkbyr,Mary J. Blige
29NJ6VbDPYhqdXXANEwHc7,Jigsaw
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
6nDLku5uL3ou60kvCGZorh,Bloodhound Gang
2kuNswDC82PL9xRbfaZJaS,The Association
5IFCkqu9J6xdWeYMk5I889,Gloria Estefan
0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits
7H55rcKCfwqkyDFH9wpKM6,Christina Perri
3VNITwohbvU5Wuy5PC6dsI,Kool & The Gang
2dd5mrQZvg6SmahdgVKDzh,PSY
18xgcedCGxFbqLbIQn5R8F,Miami Sound Machine
2jS7I1u7BpgWT9ssG62Zr1,Lisa Stansfield
6Ufm4BHf4ZdolpvcvYgH2S,Ian Devaney
0A1FSG9WZ2dQ5JSkQYJHIp,Andy Morris
23zg3TcAtWQy7J6upgbUnj,USHER
3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band
7xAcVHPiirnUqfdqo0USb1,Fantasia
0XTxadWXVyfB8eTIYOjMYj,Gary Lewis & The Playboys
01Wck2m10xhdxUrLaMq60y,Rene & Angela
2bPM7UBUWPtlRyIh5d0MlC,Felice Taylor
7uhvDINTTiD0XBrP9fquN1,The Hooters
3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland
7lcxoY1XE4kitd6d6CFPNl,Kathy Linden
2ICSjfBpos9PxMhGhX25N2,Concrete Blonde
5xQKoGD7Ql92fWd1uWwKkf,Steve Perry
1P8IfcNKwrkQP5xJWuhaOC,LL COOL J
1I8A3N4AgFS3geeMC8uh8I,Jon Astley
360IAlyVv4PCEVjgyMZrxK,Miguel
6nzxy2wXs6tLgzEtqOkEi2,Monica
2lolQgalUvZDfp5vvVtTYV,Tony Bennett
6cXMpsP9x0SH4kFfMyVezF,Josh Groban
3DvdryKH4O95ZnsUZJKXpt,Maze
6rXycobs8wkWicUGLtmB0n,Frankie Beverly
2nKxxoSMqEMPxWNfHTRDUW,Anita Cochran with Steve Wariner
45S8rtgQSxj1a0tzCNhSeD,Steve Wariner
4ihWkKDRxQFy33afJaI95y,TKA
530Sdm7eqqzWBdDmILMgnu,Robert Palmer
5q4AzEtCoYJyXjMMoEkSU5,Bachman-Turner Overdrive
3cniTumSiUysiPWXapGx1i,Cutting Crew
11EZGTWr2pY0VZPlWokAbl,The Originals
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy
13saZpZnCDWOI9D4IJhp1f,Lily Allen
1yZwlOVsfrp4wb6d29KkGM,DJ Luke Nasty
1xuHClal8p5s4nFkkdqbzv,Al Corley
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland
73sSFVlM6pkweLXE8qw1OS,Ricky Nelson
